No.,Time,Source,Destination,Protocol,Length,Info,Type,Type of attack
71,1742328468.292635,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:auth S / Padding,Attack,Nmap Scan
72,1742328468.2933092,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:22720 S / Padding,Attack,Nmap Scan
73,1742328468.293882,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:39535 S / Padding,Attack,Nmap Scan
74,1742328468.2942839,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:auth > 192.168.88.6:47772 RA,Attack,Nmap Scan
75,1742328468.2947214,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:22720 > 192.168.88.6:47772 RA,Attack,Nmap Scan
76,1742328468.2950947,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:39535 > 192.168.88.6:47772 RA,Attack,Nmap Scan
77,1742328468.295646,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:1843 S / Padding,Attack,Nmap Scan
78,1742328468.2960978,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:25737 S / Padding,Attack,Nmap Scan
79,1742328468.296562,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:61675 S / Padding,Attack,Nmap Scan
80,1742328468.2971377,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:37321 S / Padding,Attack,Nmap Scan
81,1742328468.2975988,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:36887 S / Padding,Attack,Nmap Scan
82,1742328468.2980237,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:20559 S / Padding,Attack,Nmap Scan
83,1742328468.2984746,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:63791 S / Padding,Attack,Nmap Scan
84,1742328468.2991133,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:19536 S / Padding,Attack,Nmap Scan
85,1742328468.2995725,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:1843 > 192.168.88.6:47772 RA,Attack,Nmap Scan
86,1742328468.3023503,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:25737 > 192.168.88.6:47772 RA,Attack,Nmap Scan
